Loading pytorch/1.13.1-gpu
  Loading requirement: nvidia/cudnn/8.6.0-cuda-11.6 nvidia/tensorrt/8.4.3.1-u2
    gcc/8.2.0 nvidia/nvhpc-nompi/22.2 openmpi/4.1.4-cuda-11.6 python/3.10.8-gpu
    libsndfile/1.0.28
Using device: cpu

MLP(
  (layers): Sequential(
    (0): Linear(in_features=7, out_features=32, bias=True)
    (1): ReLU()
    (2): Linear(in_features=32, out_features=27, bias=True)
  )
)
episode: 1/200, episode end value: 33019.04, duration: 0:00:02.670213
episode: 2/200, episode end value: 40166.46, duration: 0:00:00.739620
episode: 3/200, episode end value: 34786.78, duration: 0:00:00.743924
episode: 4/200, episode end value: 40053.54, duration: 0:00:00.742522
episode: 5/200, episode end value: 36773.56, duration: 0:00:00.742633
episode: 6/200, episode end value: 44065.19, duration: 0:00:00.744633
episode: 7/200, episode end value: 40784.29, duration: 0:00:00.737171
episode: 8/200, episode end value: 45076.08, duration: 0:00:00.742932
episode: 9/200, episode end value: 38925.65, duration: 0:00:00.741730
episode: 10/200, episode end value: 44122.54, duration: 0:00:00.743303
episode: 11/200, episode end value: 40673.73, duration: 0:00:00.739375
episode: 12/200, episode end value: 43544.69, duration: 0:00:00.741846
episode: 13/200, episode end value: 40204.34, duration: 0:00:00.742959
episode: 14/200, episode end value: 39365.91, duration: 0:00:00.739100
episode: 15/200, episode end value: 40740.56, duration: 0:00:00.743670
episode: 16/200, episode end value: 39769.95, duration: 0:00:00.741541
episode: 17/200, episode end value: 40602.88, duration: 0:00:00.744818
episode: 18/200, episode end value: 45454.39, duration: 0:00:00.739315
episode: 19/200, episode end value: 48633.83, duration: 0:00:00.742538
episode: 20/200, episode end value: 38136.22, duration: 0:00:00.744502
episode: 21/200, episode end value: 33371.96, duration: 0:00:00.744004
episode: 22/200, episode end value: 47469.45, duration: 0:00:00.742362
episode: 23/200, episode end value: 41536.33, duration: 0:00:00.741984
episode: 24/200, episode end value: 50970.04, duration: 0:00:00.742951
episode: 25/200, episode end value: 41023.53, duration: 0:00:00.743942
episode: 26/200, episode end value: 44276.47, duration: 0:00:00.769888
episode: 27/200, episode end value: 51968.61, duration: 0:00:00.739319
episode: 28/200, episode end value: 40740.56, duration: 0:00:00.742578
episode: 29/200, episode end value: 49774.78, duration: 0:00:00.739981
episode: 30/200, episode end value: 63173.36, duration: 0:00:00.742749
episode: 31/200, episode end value: 40819.24, duration: 0:00:00.742608
episode: 32/200, episode end value: 40903.01, duration: 0:00:00.743764
episode: 33/200, episode end value: 40805.94, duration: 0:00:00.741641
episode: 34/200, episode end value: 53546.35, duration: 0:00:00.741585
episode: 35/200, episode end value: 40740.56, duration: 0:00:00.741492
episode: 36/200, episode end value: 40740.56, duration: 0:00:00.740218
episode: 37/200, episode end value: 51850.67, duration: 0:00:00.746351
episode: 38/200, episode end value: 41381.62, duration: 0:00:00.738660
episode: 39/200, episode end value: 46502.04, duration: 0:00:00.744671
episode: 40/200, episode end value: 41022.36, duration: 0:00:00.739907
episode: 41/200, episode end value: 38261.36, duration: 0:00:00.744089
episode: 42/200, episode end value: 48001.29, duration: 0:00:00.745687
episode: 43/200, episode end value: 52985.44, duration: 0:00:00.740094
episode: 44/200, episode end value: 34166.35, duration: 0:00:00.740585
episode: 45/200, episode end value: 30961.10, duration: 0:00:00.739131
episode: 46/200, episode end value: 40568.71, duration: 0:00:00.742091
episode: 47/200, episode end value: 41532.06, duration: 0:00:00.738253
episode: 48/200, episode end value: 42581.88, duration: 0:00:00.747171
episode: 49/200, episode end value: 40740.56, duration: 0:00:00.741091
episode: 50/200, episode end value: 38911.63, duration: 0:00:00.747434
episode: 51/200, episode end value: 38185.34, duration: 0:00:00.739743
episode: 52/200, episode end value: 60300.64, duration: 0:00:00.742749
episode: 53/200, episode end value: 33177.90, duration: 0:00:00.745437
episode: 54/200, episode end value: 40740.56, duration: 0:00:00.740303
episode: 55/200, episode end value: 32169.37, duration: 0:00:00.740943
episode: 56/200, episode end value: 40633.98, duration: 0:00:00.739541
episode: 57/200, episode end value: 43724.01, duration: 0:00:00.744480
episode: 58/200, episode end value: 39647.44, duration: 0:00:00.741272
episode: 59/200, episode end value: 30753.97, duration: 0:00:00.746070
episode: 60/200, episode end value: 49002.65, duration: 0:00:00.740826
episode: 61/200, episode end value: 40688.94, duration: 0:00:00.740592
episode: 62/200, episode end value: 33799.53, duration: 0:00:00.739934
episode: 63/200, episode end value: 43575.04, duration: 0:00:00.741350
episode: 64/200, episode end value: 40740.56, duration: 0:00:00.742756
episode: 65/200, episode end value: 40705.67, duration: 0:00:00.737365
episode: 66/200, episode end value: 40277.48, duration: 0:00:00.742279
episode: 67/200, episode end value: 44058.70, duration: 0:00:00.737503
