Loading pytorch/1.13.1-gpu
  Loading requirement: gcc/8.2.0 nvidia/nvhpc-nompi/22.2
    nvidia/cudnn/8.6.0-cuda-11.6 openmpi/4.1.4-cuda-11.6 python/3.10.8-gpu
    nvidia/tensorrt/8.4.3.1-u2
episode: 1/2000, episode end value: 37808.32, duration: 0:00:02.541694
episode: 2/2000, episode end value: 31433.16, duration: 0:00:00.774137
episode: 3/2000, episode end value: 35765.14, duration: 0:00:00.767719
episode: 4/2000, episode end value: 25460.06, duration: 0:00:00.761564
episode: 5/2000, episode end value: 39083.15, duration: 0:00:00.762088
episode: 6/2000, episode end value: 32086.78, duration: 0:00:00.760172
episode: 7/2000, episode end value: 33649.01, duration: 0:00:00.760686
episode: 8/2000, episode end value: 41325.44, duration: 0:00:00.758048
episode: 9/2000, episode end value: 33676.67, duration: 0:00:00.758519
episode: 10/2000, episode end value: 35236.36, duration: 0:00:00.763515
episode: 11/2000, episode end value: 41897.58, duration: 0:00:00.758798
episode: 12/2000, episode end value: 45320.02, duration: 0:00:00.760721
episode: 13/2000, episode end value: 46539.32, duration: 0:00:00.756208
episode: 14/2000, episode end value: 34489.80, duration: 0:00:00.756470
episode: 15/2000, episode end value: 35721.21, duration: 0:00:00.762409
episode: 16/2000, episode end value: 35854.28, duration: 0:00:00.764124
episode: 17/2000, episode end value: 36086.42, duration: 0:00:00.756312
episode: 18/2000, episode end value: 32843.92, duration: 0:00:00.758827
episode: 19/2000, episode end value: 34315.21, duration: 0:00:00.757645
episode: 20/2000, episode end value: 35314.43, duration: 0:00:00.760004
episode: 21/2000, episode end value: 28776.39, duration: 0:00:00.759107
episode: 22/2000, episode end value: 34501.07, duration: 0:00:00.758836
episode: 23/2000, episode end value: 34910.33, duration: 0:00:00.759564
episode: 24/2000, episode end value: 30957.29, duration: 0:00:00.759233
episode: 25/2000, episode end value: 33171.70, duration: 0:00:00.757989
episode: 26/2000, episode end value: 30728.36, duration: 0:00:00.763096
episode: 27/2000, episode end value: 35060.64, duration: 0:00:00.761660
episode: 28/2000, episode end value: 35574.30, duration: 0:00:00.759593
episode: 29/2000, episode end value: 34892.71, duration: 0:00:00.763598
episode: 30/2000, episode end value: 33024.66, duration: 0:00:00.760640
episode: 31/2000, episode end value: 35006.08, duration: 0:00:00.758865
episode: 32/2000, episode end value: 32582.11, duration: 0:00:00.760697
episode: 33/2000, episode end value: 32590.24, duration: 0:00:00.760838
episode: 34/2000, episode end value: 39480.51, duration: 0:00:00.755939
episode: 35/2000, episode end value: 37374.03, duration: 0:00:00.758969
episode: 36/2000, episode end value: 37219.34, duration: 0:00:00.765855
episode: 37/2000, episode end value: 37234.74, duration: 0:00:00.767286
episode: 38/2000, episode end value: 31047.88, duration: 0:00:00.769463
episode: 39/2000, episode end value: 34565.86, duration: 0:00:00.772538
episode: 40/2000, episode end value: 37426.59, duration: 0:00:00.784214
episode: 41/2000, episode end value: 35721.21, duration: 0:00:00.784815
episode: 42/2000, episode end value: 31114.88, duration: 0:00:00.782708
episode: 43/2000, episode end value: 35721.21, duration: 0:00:00.767761
episode: 44/2000, episode end value: 38936.03, duration: 0:00:00.768411
episode: 45/2000, episode end value: 31932.19, duration: 0:00:00.768658
episode: 46/2000, episode end value: 38529.73, duration: 0:00:00.764906
episode: 47/2000, episode end value: 35314.57, duration: 0:00:00.764384
episode: 48/2000, episode end value: 35116.98, duration: 0:00:00.758679
episode: 49/2000, episode end value: 35476.46, duration: 0:00:00.761815
episode: 50/2000, episode end value: 32741.11, duration: 0:00:00.754723
episode: 51/2000, episode end value: 30630.97, duration: 0:00:00.763751
episode: 52/2000, episode end value: 36774.06, duration: 0:00:00.759934
episode: 53/2000, episode end value: 48777.63, duration: 0:00:00.755022
episode: 54/2000, episode end value: 34340.66, duration: 0:00:00.758162
episode: 55/2000, episode end value: 32304.60, duration: 0:00:00.754520
episode: 56/2000, episode end value: 35365.25, duration: 0:00:00.756709
episode: 57/2000, episode end value: 40253.68, duration: 0:00:00.753580
episode: 58/2000, episode end value: 44803.18, duration: 0:00:00.753983
episode: 59/2000, episode end value: 41361.38, duration: 0:00:00.755431
episode: 60/2000, episode end value: 39149.29, duration: 0:00:00.754582
episode: 61/2000, episode end value: 38485.54, duration: 0:00:00.752442
